Simplified	Traditional	Tone number	Tone symbol	English
?	?	de5	de	"indicates possession, like adding 's to a noun"
?	?	wo3	w?	I; me
?	?	ni3	n?	you (singular)
?	?	shi4	shì	be; is; are; am
?	?	le5	le	indicates a completed or finished action
?	?	bu4	bù	no; not
?	?	zai4	zài	at; on; in; indicates an action in progress
?	?	ta1	t?	he; him
??	??	wo3men5	w?men	we; us
?	?	hao3	h?o	good
?	?	you3	y?u	have
?	?	zhe4	zhè	this
?	?	hui4	huì	know how to
?	?	ma5	ma	indicates a yes/no question (added to a statement)
??	??	shen2me5	shénme	what? (replaces the noun to turn a statement into a question)
?	?	shuo1	shu?	speak
?	?	ta1	t?	she
?	?	xiang3	xi?ng	think; believe; suppose; would like to
?	?	yi1	y?	one; once; a
?	?	hen3	h?n	very; quite
?	?	ren2	rén	person; man; people
?	?	na4	nà	that; then
?	?	lai2	lái	come; arrive; ever since; next
?	?	dou1	d?u	all; both
?	?	ge5	ge	general measure word
?	?	neng2	néng	can; be able
?	?	qu4	qù	go; to leave
?	?	he2	hé	and; with
?	?	zuo4	zuò	do; make
?	?	shang4	shàng	above; up
??	??	mei2you3	méiy?u	not have; there is not
?	?	kan4	kàn	see; look at; to watch
??	??	zen3me5	z?nme	how?
??	??	xian4zai4	xiànzài	now
?	?	dian3	di?n	a dot; a little; o'clock
?	?	ne5	ne	indicates a question; how about...?;
?	?	tai4	tài	too (much)
?	?	li3	l?	inside; Chinese mile (~.5 km)
?	?	ting1	t?ng	listen; hear
?	?	shei2	shéi	who
?	?	duo1	du?	many
??	??	shi2hou5	shíhou	time
?	?	xia4	xià	fall; below
??	??	xie4xie5	xièxie	thank you
??	??	xian1sheng5	xi?nsheng	Mr.; Sir
??	??	xi3huan5	x?huan	to like
?	?	da4	"dà, dài"	big; large
??	??	dong1xi5	d?ngxi	things; stuff
?	?	xiao3	xi?o	small; young
?	?	jiao4	jiào	to be called
?	?	ai4	ài	love
?	?	nian2	nián	year
?	?	qing3	q?ng	please; invite; to treat someone to something
?	?	hui2	huí	to return; to reply; to go back
??	??	gong1zuo4	g?ngzuò	work; a job
?	?	qian2	qián	money; coin
?	?	chi1	ch?	eat
?	?	kai1	k?i	to open; to start; to operate (a vehicle)
?	?	jia1	ji?	family; home
?	?	na3	n?a	which; how
??	??	peng2you5	péngyou	friend
??	??	ma1ma5	m?ma	mom; mum
??	??	jin1tian1	j?nti?n	today
?	?	ji3	j?	how many; several; a few
??	??	ba4ba5	bàba	Dad
?	?	xie1	xi?	some; few; several
???	???	zen3me5yang4	z?nmeyàng	how about?; how is/was it?
???	???	dui4bu5qi3	duìbuq?	sorry
?	?	zhu4	zhù	to live; reside; to stop
?	?	san1	s?n	three
??	??	gao1xing4	g?oxìng	happy; glad
?	?	mai3	m?i	to buy
??	??	yi1sheng1	y?sh?ng	doctor
??	??	na3r5	n?r	where? (Beijing accent)
?	?	zi4	zì	letter; character
??	??	ming2zi5	míngzi	name
??	??	ren4shi5	rènshi	recognize; know (a person)
?	?	zuo4	zuò	sit
?	?	he1	h?	to drink
?	?	xie3	xi?	to write; to compose
?	?	yue4	yuè	moon; month; flesh (radical)
?	?	hao4	hào	number; day of a month
?	?	gou3	g?u	dog
?	?	sui4	suì	years old; age
??	??	kan4jian4	kànjiàn	see; catch sight of
???	???	da3 dian4hua4	d? diànhuà	make a phone call
?	?	wei4	wèi	hello (on the phone)
??	??	er2zi5	érzi	son
??	??	piao4liang5	piàoliang	pretty; beautiful
??	??	fen1zhong1	f?nzh?ng	minute; (measure word for time)
??	??	zai4jian4	zàijiàn	goodbye; see you later
?	?	ben3	b?n	measure word for books
??	??	ming2tian1	míngti?n	tomorrow
?	?	shao3	sh?o	few; little
??	??	duo1shao5	du?shao	how much?; how many?
?	?	kuai4	kuài	lump; piece; sum of money
??	??	nv3'er2	n?'ér	daughter
??	??	xiao3jie5	xi?ojie	young lady; miss; Ms.
??	??	yi1fu5	y?fu	clothes
?	?	shui3	shu?	water
??	??	xue2xiao4	xuéxiào	school
??	??	dian4ying3	diàny?ng	movie; film
?	?	shu1	sh?	book; letter
?	?	si4	sì	four
?	?	wu3	w?	five
??	??	yi1yuan4	y?yuàn	hospital
???	???	mei2 guan1xi5	méi gu?nxi	it doesn't matter; never mind
??	??	fei1ji1	f?ij?	airplane
?	?	er4	èr	two
??	??	dian4shi4	diànshì	television; TV
?	?	du2	dú	to read; to study
??	??	hou4mian5	hòumian	back; behind
??	??	zuo2tian1	zuóti?n	yesterday
??	??	shui4 jiao4	shuì jiào	to sleep; go to bed
