simplified	traditional	tone number	tone symbol	english
?	?	jiu4	jiù	then; at once; just; only; with regard to
?	?	"yao4, yao1"	"yào, y?o"	to want; to need; will/shall; important | demand; request
??	??	zhi1dao5	zh?dao	know; be aware of
?	?	"ba5, ba1"	"ba, b?"	"particle indicating polite suggestion; | onomatopoeia | bar (serving drinks, providing internet access, etc.)"
?	?	dao4	dào	arrive (at a place); until (a time)
?	?	dui4	duì	correct; a pair; to face; be opposite; to; towards
?	?	ye3	y?	also; too
?	?	"hai2, huan2"	"hái, huán"	still; yet; in addition; even | repay; to return
?	?	rang4	ràng	ask; let; yield
?	?	"gei3, ji3"	"g?i, j?"	to give; to grant; (passive particle) | provide
?	?	guo4	guò	to pass; to cross; go over; (indicates a past experience)
?	?	"de2, dei3, de5"	"dé, d?i, de"	obtain | must | (complement particle)
?	?	zhen1	zh?n	real; true; genuine
?	?	"zhe5, zhao2, zhuo2"	"zhe, zháo, zhuó"	-ing (indicating action in progress) | to touch; to feel | to wear; apply
??	??	ke3yi3	k?y?	can; may; possible; okay
?	?	"bie2, bie4"	"bié, biè"	don't do something; don't | depart; | other; difference; distinguish
?	?	zou3	z?u	to walk; to go; to move (Kangxi radical 156)
??	??	gao4su5	gàosu	to tell; inform
??	??	yin1wei4	y?nwèi	because
?	?	zai4	zài	again; once more
?	?	kuai4	kuài	fast; quick; swift
??	??	dan4shi4	dànshì	but; however
??	??	yi3jing5	y?jing	already
???	???	wei4shen2me5	wèishénme	why?; for what reason?
??	??	jue2de5	juéde	feel; think
?	?	ta1	t?	it
?	?	cong2	cóng	from; obey; observe
?	?	zhao3	zh?o	try to find; look for; seek; to give change
?	?	zui4	zuì	the most; -est; (indicator for superlative)
??	??	ke3neng2	k?néng	possible; maybe
?	?	ci4	cì	(mw for number of times of occurrence); nth; order
?	?	chu1	ch?	go out; occur
??	??	hai2zi5	háizi	child; children; son or daughter
??	??	suo3yi3	su?y?	so; therefore; as a result
?	?	liang3	li?ng	two; 2; both; (unit of weight equal to 50 grams)
?	?	cuo4	cuò	mistake; error; blunder; miss an opportunity
?	?	deng3	d?ng	to wait; rank; equal; etc.
?	?	ti2	tí	topic; subject; question on a test or assignment
?	?	wen4	wèn	ask; inquire
??	??	wen4ti2	wèntí	question; problem
??	??	yi4qi3	yìq?	together; in the same place
??	??	kai1shi3	k?ish?	begin; to start; beginning
??	??	shi2jian1	shíji?n	time; period
??	??	shi4qing5	shìqing	matter; affair; thing; business
??	??	yi2xia4	yíxià	a little bit/while; one time; once
??	??	fei1chang2	f?icháng	extremely; extraordinary; very
??	??	xi1wang4	x?wàng	to hope; wish for; to desire
??	??	zhun3bei4	zh?nbèi	prepare; get ready
?	?	bi3	b?	compare; (indicates comparison) (Kangxi radical 81); to gesticulate as one talks
?	?	jian4	jiàn	"(mw for things, clothes, and items)"
??	??	yi4si5	yìsi	meaning; idea; opinion
??	??	di4yi1	dìy?	first; number 1
?	?	jin4	jìn	enter; come in
??	??	da4jia1	dàji?	everyone
?	?	xin1	x?n	new; Xinjiang autonomous region (abbreviation)
?	?	nin2	nín	you (polite)
?	?	chuan1	chu?n	to wear; put on; penetrate
?	?	song4	sòng	deliver; to carry; to give; send
?	?	wan2	wán	to play; have a good time; visit; enjoy
?	?	"chang2, zhang3"	"cháng, zh?ng"	long; length | grow; chief (Kangxi radical 168)
??	??	xiao3shi2	xi?oshí	hour
?	?	wan2	wán	to finish; be over; complete
?	?	mei3	m?i	each; every
??	??	gong1si1	g?ngs?	company; corporation
??	??	bang1zhu4	b?ngzhù	help; assist; aid
??	??	wan3shang5	w?nshang	evening; night
??	??	shuo1hua4	shu?huà	to talk; speak
?	?	men2	mén	door; opening; gate (Kangxi radical 169)
?	?	nv3	n?	woman; female (Kangxi radical 38)
?	?	mang2	máng	busy
?	?	mai4	mài	to sell
?	?	gao1	g?o	high; tall (Kangxi radical 189)
??	??	fang2jian1	fángji?n	room
?	?	lu4	lù	road; path; journey; route
?	?	dong3	d?ng	understand; know
??	??	zheng4zai4	zhèngzài	in the process of (doing something); currently
?	?	xiao4	xiào	to laugh; to smile
?	?	yuan3	yu?n	far; distant; remote
??	??	qi1zi5	q?zi	wife
??	??	zhang4fu5	zhàngfu	husband; man
?	?	li2	lí	leave; depart; go away; apart from
?	?	wang3	w?ng	to go (in a direction); towards; in the past
?	?	nan2	nán	male
??	??	yan3jing5	y?njing	eye
??	??	kuai4le4	kuàilè	happy
??	??	sui1ran2	su?rán	although; even though
??	??	zao3shang5	z?oshang	(early) morning
?	?	yao4	yào	medicine; drug; cure; chemical
??	??	shen1ti3	sh?nt?	health; (human) body
?	?	hei1	h?i	black; dark (Kangxi radical 203); Heilongjiang province (abbreviation)
??	??	ka1fei1	k?f?i	coffee
?	?	ri4	rì	sun; day; date; time (Kangxi radical 72)
??	??	xiu1xi5	xi?xi	to rest; take a break
?	?	wai4	wài	outer; outside; in addition; foreign
??	??	sheng1ri4	sh?ngrì	birthday
??	??	ge1ge5	g?ge	older brother
?	?	piao4	piào	ticket; bank note; a vote
??	??	shou3ji1	sh?uj?	mobile (cell) phone
?	?	xi3	x?	to wash; bathe
??	??	tiao4 wu3	tiào w?	to dance
??	??	di4di5	dìdi	younger brother
??	??	mei4mei5	mèimei	younger sister
?	?	hong2	hóng	red; symbol of success; bonus; popular
?	?	man4	màn	slow
?	?	jin4	jìn	near; close (to)
?	?	"bai2, bo2"	"bái, bó"	white; snowy; pure; bright; empty (Kangxi radical 106)
??	??	jie3jie5	ji?jie	older sister
??	??	jie4shao4	jièshào	to introduce; recommend; introduction
?	?	yu2	yú	fish (Kangxi radical 195)
?	?	"lei4, lei3, lei2"	"lèi, l?i, léi"	tired | accumulate; implicate | rope; bind together
?	?	ke4	kè	class; subject; lesson; course
??	??	shang4 ban1	shàng b?n	go to work; be on duty
??	??	pang2bian1	pángbi?n	"side, beside"
??	??	yun4dong4	yùndòng	(physical) exercise; movement; sports; campaign
??	??	qu4nian2	qùnián	last year
??	??	bao4zhi3	bàozh?	newspaper
??	??	yan2se4	yánsè	color
??	??	ji1chang3	j?ch?ng	airport; airfield
??	??	chang4ge1	chàngg?	sing (a song)
?	?	qian1	qi?n	one thousand
??	??	hao3chi1	h?och?	tasty
??	??	kao3shi4	k?oshì	test; exam; to give or take a test
??	??	zuo3bian5	zu?bian	the left side; the left
?	?	xing4	xìng	surname; family name
?	?	bai3	b?i	hundred
?	?	xue3	xu?	snow
?	?	gui4	guì	expensive; noble; honorable; Guizhou province (abbreviation)
??	??	sheng1 bing4	sh?ng bìng	get sick; fall ill
??	??	you2yong3	yóuy?ng	to swim
??	??	niu2nai3	niún?i	cow's milk
??	??	you4bian5	yòubian	the right (as opposed to left) side
??	??	pian2yi5	piányi	cheap
????	????	gong1gong4 qi4che1	g?nggòng qìch?	(public) bus
??	??	qi3 chuang2	q? chuáng	get out of bed
???	???	da3 lan2qiu2	d? lánqiú	play basketball
??	??	ji1dan4	j?dàn	(chicken) egg
???	???	ti1zu2qiu2	t?zúqiú	to play football/soccer
?	?	ling2	líng	zero; remnant
??	??	shou3biao3	sh?ubi?o	wristwatch
??	??	lv3you2	l?yóu	trip; journey; tour
???	???	fu2wu4yuan2	fúwùyuán	waiter/waitress; server; attendant
??	??	bin1guan3	b?ngu?n	guesthouse; hotel
??	??	jiao4shi4	jiàoshì	classroom
??	??	pao3 bu4	p?o bù	to run; to jog
?	?	yin1	y?n	cloudy (weather); yin (the negative principle of Yin and Yang); secret; the moon; negative; shade
??	??	mian4tiao2	miàntiáo	noodles
??	??	qian1bi3	qi?nb?	pencil
???	???	huo3che1zhan4	hu?ch?zhàn	train station
??	??	xi1gua1	x?gu?	watermelon
??	??	yang2rou4	yángròu	mutton; lamb
?	?	qing2	qíng	clear; fine (as of weather)
