simplified	traditional	pinyin number	pinyin symbols 	english
?	?	"a1, a2, a3, a4, a5"	"?, á, ?, à, a"	"ah; (particle showing elation, doubt, puzzled surprise, or approval)"
?	?	"hai2, huan2"	"hái, huán"	still; yet; in addition; even | repay; to return
?	?	"ba3, ba4"	"b?, bà"	(mw for things with handles); (pretransitive particle); to hold | a grip; a handle; stem (of plants)
?	?	guo4	guò	to pass; to cross; go over; (indicates a past experience)
??	??	ru2guo3	rúgu?	if; in the event that
?	?	"zhi3, zhi1"	"zh?, zh?"	only; merely; just; but | (mw for birds and certain animals)
?	?	bei4	bèi	by (indicates passive voice sentences); a quilt/blanket
?	?	gen1	g?n	to follow; go with; heel
??	??	zi4ji3	zìj?	oneself; self
?	?	yong4	yòng	to use (Kangxi radical 101)
?	?	xiang4	xiàng	be like; resemble; appearance; appear
?	?	"wei2, wei4"	"wéi, wèi"	to act (as); become; to mean | for; because of; to; for the sake of
??	??	xu1yao4	x?yào	to need; to want; to demand
??	??	ying1gai1	y?ngg?i	should; ought to; must
??	??	qi3 lai5	q? lai	(beginning or continuing an action); to rise; get up (from bed)
?	?	cai2	cái	ability; talent; just now; not until
?	?	you4	yòu	(once) again; also; both (Kangxi radical 29)
?	?	na2	ná	carry in your hand; seize; to catch
?	?	"geng4, geng1"	"gèng, g?ng"	more; even more | change; watch (e.g. of a sentry or guard)
?	?	dai4	dài	band; belt; ribbon; carry; bring; take along; bring up (kids)
??	??	ran2hou4	ránhòu	then; afterwards
??	??	yi2yang4	yíyàng	the same; alike; equal to
??	??	dang1ran2	d?ngrán	of course; naturally
??	??	xiang1xin4	xi?ngxìn	believe (sb.); be convinced of
??	??	ren4wei2	rènwéi	believe; think that
??	??	ming2bai5	míngbai	clear; obvious; understand; explicit
??	??	yi4zhi2	yìzhí	always; all along; straight (in a straight line)
?	?	"di4, de5"	"dì, de"	earth; ground | (adverbial particle)
??	??	di4fang5	dìfang	"place; space; room; part, (f?ng: local; regional)"
??	??	li2kai1	lík?i	leave; depart
??	??	yi2ding4	yídìng	surely; certainly; necessarily; definite
??	??	hai2shi5	háishi	or; still; nevertheless; had better
?	?	"fa1, fa4"	"f?, fà"	send out; to issue; to show (one's feelings) | hair
??	??	fa1xian4	f?xiàn	discover; to find
??	??	er2qie3	érqi?	moreover; in addition; as well as
??	??	bi4xu1	bìx?	must; have to
?	?	fang4	fàng	put; to place; to release; to free
??	??	wei4le5	wèile	in order to; for the sake of; for the purpose of
